1	<html>@1<br> -Một</html>
2	<html>@2<br> -Hai</html>
An Nam	<html>@An Nam<br>-@An Nam<br>- Vietnam was named An Nam under the Chinese and French dominations</html>
Biên Hoà	<html>@Biên Hoà<br>-@Biên Hoà<br>- Xem Đồng Nai</html>
Blowing dust and wind	<html>@Blowing dust and wind<br>-@Blowing dust and wind<br>- (Gió bụi trên đường) The wind and dust blowing on the road<br>-Troubled (times).<br>=Thuở trời đất nổi cơn gió bụi+In troubled times by Heaven's will<br>-Hard, full of ups and downs<br>=Cuộc đời gió bụi+A life full of ups and downs</html>
Bình Định	<html>@Bình Định<br>-@Bình Định<br>- Quy Nhơn, provincial capital of Bình Định, is 1,065km from Hà Nội on National Highway 1. In the old days, Quy Nhơn was called Thị Nại, the name of a beautiful lake inside the city. Biển Quy Nhơn (Quy Nhon+Sea) has an annual average temperature of 25.7oC and is suitable for tourism the year round. Hoàng Hậu Beach is an ideal place for bathing. Quang Trung Museum is dedicated to Nguyễn Huệ, a national hero of the 18th century. It was built in his native land of Kien My village, Binh Thanh commune, Tây Sơn district, some 45km from Quy Nhon City. Nguyễn Huệ is one of three brothers who led the Tây Sơn Insurrection. In 1788, he led a great force advancing from Phú Xuân (Huế) to the North. It took 35 days and they exacted an overwhelming defeat on the Qing invaders near Thăng Long (now Hà Nội), thereby liberating the royal+capital. He crowned himself Emperor Quang Trung the same year. At Quang Trung Museum, visitors will enjoy music and demonstrations of Võ Tây Sơn (traditional martial arts of Bình Định). In particular, they can+see a young woman, a niece of the 9th generation of Emperor Quang Trung, playing 11 battle drums. In addition, Hoi Van village (Cat Trinh commune, Phù Cát district) is well known for its hot spring. It is composed of+various chemical components useful in the treatment of rheumatism, mental disorder, cardio-vascular diseases and skin diseases. Beside the hot spring, there is a sanatorium which offers steam baths with mineral water of 38oC useful for medical treatment and general health improvement.=Built in 1665 in the Đồ Bàn Citadel - second capital of the Kingdom of Chăm Pa some 27km from Quy Nhơn City - Thap Thap Pagoda is a Buddhist temple, but its decorations are characterized by the Chăm decorative art. Dương Long Chàm Tower is also called Tháp Ngà (Tower of Ivory),+consisting of three towers. This group of towers is one of the most beautiful in Central Vietnam. Banh It Tower is also called Tháp Bạc (Silver Tower). There, tourists can enjoy a panoramic view of this fertile countryside</html>
Bắc bán cầu	<html>@Bắc bán cầu<br>-@Bắc bán cầu<br>- Northern hemisphere</html>
Bắc đẩu	<html>@Bắc đẩu<br>-@Bắc đẩu<br>- The Great Bear</html>
Bắc đẩu bội tinh	<html>@Bắc đẩu bội tinh<br>-@Bắc đẩu bội tinh<br>- Order of the Legion of honour</html>
Cao Bằng	<html>@Cao Bằng<br>-@Cao Bằng<br>- Cao Bằng is a mountainous province in North-Vietnam. Its provincial capital is under the same name. It shares a border of 314km with China to the north and the east, and is inhabited by many ethnic groups. Some 60km from the provincial capital is Pắc Bó, a small hamlet in Truong Ha commune, Hà Quảng district, close to the Vietnamese-Chinese border. In the local dialect, Pắc Bó means watershed, where springs of clear water run. From Thái Nguyên City, provincial capital of Bắc Thái province, you drive along Highway 3 to the towns of Bắc Cạn and Phu Thong. After another 16km, you will arrive at Ba Bể Lake which is about 225km from Hà Nội. The lake actually consists of three lakes called Pe Lam, Pe Lu and Pe Leng, so it is called Ba Bể (Three Seas). Ba Bể Lake is surrounded by limestone mountains and thick forests, home to many species of rare birds and animals</html>
Chu Văn An	<html>@Chu Văn An<br>-@Chu Văn An<br>- Chu Văn An (1292-1370) - talented and virtuous pedagogue and scholar in the Trần times - was reputed for straightforwardness and not being concerned with fame and advantages. His native village was in Thanh Đạm (Thanh Trì- Hà Nội). He graduated as doctor and came home to teach instead of becoming a mandarin. Many of his students make their way in the world (Phạm Sư Mạnh, Lê Quát). Chu Văn An taught the crown prince at Quốc Tử Giám, and submitted Thất Trảm Sớ (petition asking to behead seven sycophantic mandarins) to the king. Because the king's disapproval, he resigned and led a secluded life under the pen-name Tiều Ân (secluded woodcutter). His works were Quốc Ngữ Thi Tập (Anthology of national language), Tiều Ân Thi Tập (Anthology of a secluded woodcutter). There is a temple to his memory at the Temple of Literature in Hà Nội<br>- CHU VĂN AN: LIFE AND TIMES. Chu Văn An died over six centuries ago, in the year 1370, but the example he set as a great patriot and teacher will remain engraved in the hearts of our people. Having won the degree of Thái Học Sinh (doctorate) in the official literary examinations, he refused to be appointed a mandarin official at the royal court and instead opened a school to train the country's scholars. Many of his more talented students would later go on to pursue successful careers. Two of his students, Phạm Sư Mạnh and Lê Quát, rose to the position of prime minister. In the reign of Trần Minh Tôn, Chu Văn An was invited to teach at Quốc Tử Giám, the National University in the capital city of Thăng Long (now Hà Nội), attended by the most talented scholars as well as the sons of high dignitaries, including the prince heir to the throne. He was the author of many books: Collections of poems in both the vernacular and classical Chinese, dissertations on Confucian classics, and a treaty on traditional medicine The vestiges of his life and career, carefully preserved by the people in spite of the ravages of war and the passage of time, testify to the great respect in which his memory is held. Thanh Liệt commune in Thanh Trì district south of Hà Nội is believed to be the birth place of his mother, Lê Thị Chiêm. In the communal house are kept a record of his life and a couplet praising his virtues and achievements. A shrine was also built in 1846, dedicated to him and to a remarkable man among his descendants, Doctor Chu Đinh Bang, who lived in the reign of Lê Thánh Tôn (15th century) In Tam Hiệp commune, Thanh Trì district is found Hùynh Cung Temple, built on the site of a famous school founded by Chu Văn An. In Văn Điển south of Hà Nội is a stone stele with an inscription honouring Chu Văn An, erected in 1803. But the most important national institutions related to his life and career are the Temple of Literature (Văn Miếu) and the National University (Quốc Tử Giám) in Hà Nội. Here the Trần kings erected an altar to honour him alongside those dedicated to Confucius and his 72 disciples. Also in Hà Nội, a tree-lined street and a secondary school, the most renowned in the country, are named after him. In Hải Hưng province are found vestiges related to the later years of his life. Here he lived as a recluse for ten years after unsuccessfully petitioning the king for the death sentence to seven corrupt high-ranking dignitaries. The commune where he spent those years is now named after him. It is located in Chí Linh district near a beautiful range of hills called Phượng Sơn (Phoenix Mount). His remains were buried there</html>
